Public/Private,Name,Conference,Website,Camp Link,Adress
Public,Grand Valley State University,Great Lakes Intercollegiate Athletic Conference,https://www.gvsu.edu/,https://www.grandvalleystatefootballcamps.com/,"Allendale, Michigan"
Private,Harding University,Great American Conference,https://www.harding.edu/,https://www.hardingfootballcamps.com/,"Searcy, Arkansas"
Public,Henderson State University,Great American Conference,https://www.hsu.edu/,https://camps.jumpforward.com/reddiefootball,"Arkadelphia, Arkansas"
Private,Hillsdale College,Great Lakes Intercollegiate Athletic Conference,https://www.hillsdale.edu/,https://hillsdalecollegefootballcamps.totalcamps.com/About%20Us,"Hillsdale, Michigan"
Public,Indiana University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.iup.edu/,https://ep01.iup.edu/C20877_ustores/web/store_cat.jsp?STOREID=9&CATID=134,"Indiana, Pennsylvania"
Private,Johnson C. Smith University,Central Intercollegiate Athletic Association,https://www.jcsu.edu/,https://goldenbullsports.com/news/2018/6/7/jcsu-football-to-host-three-summer-camps.aspx,"Charlotte, North Carolina"
Public,Kentucky State University,Southern Intercollegiate Athletic Conference,https://www.kysu.edu/,https://ksuthorobreds.com/sports/camps-and-clinics,"Frankfort, Kentucky"
Private,Kentucky Wesleyan College,Great Midwest Athletic Conference,https://kwc.edu/,https://kwc.edu/fbprospectcamp/,"Owensboro, Kentucky"
Public,Kutztown University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.kutztown.edu/,https://kutztownusportscamps.com/,"Kutztown, Pennsylvania"
Private,Lake Erie College,Great Midwest Athletic Conference,https://www.lec.edu/,https://lakeeriestorm.com/sports/2022/12/12/lake-erie-college-summer-camps.aspx,"Painesville, Ohio"
Private,Lane College,Southern Intercollegiate Athletic Conference,https://www.lanecollege.edu/,https://golcdragons.com/sports/football,"Jackson, Tennessee"
Private,Lenoir-Rhyne University,South Atlantic Conference,https://www.lr.edu/,https://www.mikejacobsfootballcamps.com/,"Hickory, North Carolina"
Private,Limestone University,South Atlantic Conference,https://www.limestone.edu/,http://www.limestonefbcamps.com/About%20Us,"Gaffney, South Carolina"
Public,Lincoln University – Missouri,Mid-America Intercollegiate Athletics Association,https://www.lincolnu.edu/,https://lubluetigers.com/news/2022/10/26/softball-to-host-prospect-camp-on-nov-5-nov-13.aspx,"Jefferson City, Missouri"
Private,Lincoln University Pennsylvania,Central Intercollegiate Athletic Association,https://www.lincoln.edu/,https://www.collegefootballprospectid.com/lincoln-university-pa.cfm,"Lincoln University, Pennsylvania"
Private,Livingstone College,Central Intercollegiate Athletic Association,http://livingstone.edu/,https://www.bluebearcamps.com/,"Salisbury, North Carolina"
Public,Lock Haven University,Pennsylvania State Athletic Conference,https://www.lockhaven.edu/,https://lhufootball.totalcamps.com/About%20Us,"Lock Haven, Pennsylvania"
Private,Mars Hill University,South Atlantic Conference,https://www.mhu.edu/,https://marshillfootballcamps.totalcamps.com/About%20Us,"Mars Hill, North Carolina"
Private,McKendree University,Great Lakes Valley Conference,https://www.mckendree.edu/,https://football.mckendreecamps.com/,"Lebanon, Illinois"
Private,Mercyhurst University,Pennsylvania State Athletic Conference,https://www.mercyhurst.edu/,https://go.mercyhurst.edu/register/?id=9480f45a-06ac-4229-95d7-22d27bc789e7,"Erie, Pennsylvania"
Public,Michigan Technological University,Great Lakes Intercollegiate Athletic Conference,https://www.mtu.edu/,https://www.michigantechhuskies.com/sports/fball/2021-22/releases/20220411kj8z9y,"Houghton, Michigan"
Public,Midwestern State University,Lone Star Conference,https://msutexas.edu/,https://msumustangs.com/sports/2022/3/10/2022-midwestern-state-summer-camps.aspx,"Wichita Falls, Texas"
Private,Miles College,Southern Intercollegiate Athletic Conference,https://www.miles.edu/,https://milesgoldenbears.com/sports/football,"Fairfield, Alabama"
Public,Millersville University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.millersville.edu/,https://millersvillefootball.totalcamps.com/About%20Us,"Millersville, Pennsylvania"
Public,Minnesota State University – Mankato,Northern Sun Intercollegiate Conference,https://www.mnsu.edu/,https://msumavericks.com/sports/2016/1/20/FB_0120160239.aspx,"Mankato, Minnesota"
Public,Minnesota State University – Moorhead,Northern Sun Intercollegiate Conference,https://www.mnstate.edu/,https://www.msumdragons.com/sports/2013/3/25/FB_0325130628.aspx,"Moorhead, Minnesota"
Public,Minot State University,Northern Sun Intercollegiate Conference (NCAA Division II),https://www.minotstateu.edu/,https://camps.jumpforward.com/minotstatefootballcamps,"Minot, North Dakota"
Private,Mississippi College,Gulf South Conference,https://www.mc.edu/,https://www.mc.edu/offices/ce/summer-camps,"Clinton, Mississippi"
Public,Missouri Southern State University,Mid-America Intercollegiate Athletics Association,https://www.mssu.edu/,https://mssufootballcamps.totalcamps.com/About%20Us,"Joplin, Missouri"
Public,Missouri University of Science & Technology,Great Lakes Valley Conference,https://www.mst.edu/,https://www.minerfootballcamps.com/,"Rolla, Missouri"
Public,Missouri Western State University,Mid-America Intercollegiate Athletics Association,https://www.missouriwestern.edu/,https://www.griffonfootballcamps.com/,"St. Joseph, Missouri"
Private,Morehouse College,Southern Intercollegiate Athletic Conference,https://morehouse.edu/,https://morehouseathletics.com/news/2022/5/30/2022-rich-freeman-football-summer-camps.aspx,"Atlanta, Georgia"
Public,New Mexico Highlands University,Rocky Mountain Athletic Conference,https://www.nmhu.edu/,https://nmhuathletics.com/sports/football,"Las Vegas, New Mexico"
Private,Newberry College,South Atlantic Conference,https://www.newberry.edu/,https://www.newberryfootballcamps.com/,"Newberry, South Carolina"
Private,North Greenville University,Gulf South Conference,https://ngu.edu/,https://ngufootballcamps.godaddysites.com/,"Tigerville, South Carolina"
Public,Northeastern State University,Mid-America Intercollegiate Athletics Association,https://www.nsuok.edu/,https://goriverhawksgo.com/news/2021/5/10/nsu-football-announces-summer-camp-dates.aspx,"Tahlequah, Oklahoma"
Public,Northern Michigan University,Great Lakes Intercollegiate Athletic Conference,https://nmu.edu/,https://nmuwildcats.com/sports/2021/8/16/camps.aspx,"Marquette, Michigan"
Public,Northern State University,Northern Sun Intercollegiate Conference,https://northern.edu/,https://www.northernstatefootballcamps.com/,"Aberdeen, South Dakota"
Public,Northwest Missouri State University,Mid-America Intercollegiate Athletics Association,https://www.nwmissouri.edu/,https://www.bearcatfootballcamps.com/individual-camp.cfm,"Maryville, Missouri"
Public,Northwestern Oklahoma State University,Great American Conference,https://www.nwosu.edu/,https://riderangersride.com/sports/2018/3/28/camps.aspx,"Alva, Oklahoma"
Private,Northwood University – Michigan,Great Lakes Intercollegiate Athletic Conference,https://www.northwood.edu/,https://camps.jumpforward.com/northwoodfootball,"Midland, Michigan"
Private,Notre Dame College,Mountain East Conference,https://www.notredamecollege.edu/,https://und.com/sports/footballcamps/,"Cleveland, Ohio"
Private,Ohio Dominican University,Great Midwest Athletic Conference,https://www.ohiodominican.edu/,https://camps.jumpforward.com/ohiodominicanfootballcamps,"Columbus, Ohio"
Private,Oklahoma Baptist University,Great American Conference,https://www.okbu.edu/,https://camps.jumpforward.com/obufootballcamps,"Shawnee, Oklahoma"
Private,Ouachita Baptist University,Great American Conference,https://obu.edu/,https://www.ouachitatigerfootballcamps.com/,"Arkadelphia, Arkansas"
Private,Pace University,Northeast-10 Conference,https://www.pace.edu/,https://www.andyrondeaufootballcamps.com/,"New York, New York"
Public,Pittsburg State University,Mid-America Intercollegiate Athletics Association,https://www.pittstate.edu/,https://pittstategorillas.com/news/2022/4/6/2022-brian-wright-football-camps-schedule-released.aspx,"Pittsburg, Kansas"
Private,Post University,Central Atlantic Collegiate Conference (Division II),https://post.edu/,https://posteagles.com/sports/2019/9/1/eagles-prospect-clinic.aspx,"Waterbury, Connecticut"
Private,Quincy University,Great Lakes Valley Conference,https://www.quincy.edu/,https://www.quincyfootballcamps.com/,"Quincy, Illinois"
Public,Saginaw Valley State University,Great Lakes Intercollegiate Athletic Conference,https://www.svsu.edu/,https://svsufootballcamps.totalcamps.com/About%20Us,"University Center, Michigan"
Private,Saint Anselm College,Northeast-10 Conference,https://www.anselm.edu/,https://www.firstandgoalsportscamps.com/content/camps/2023-saint-anselm-college-youth-football-camp,"Manchester, New Hampshire"
Private,Saint Augustine's University,Central Intercollegiate Athletic Association,https://www.st-aug.edu/,https://saintaugfalcons.com/sports/2022/3/23/football-prospect-camp.aspx?path=football,"Raleigh, North Carolina"
Public,Savannah State University,Mid-Eastern Athletic Conference,https://www.savannahstate.edu/,https://info.abcsportscamps.com/ssufootball,"Savannah, Georgia"
Private,Seton Hill University,Pennsylvania State Athletic Conference,https://www.setonhill.edu/,https://athletics.setonhill.edu/sports/2017/5/9/football-camps.aspx,"Greensburg, Pennsylvania"
Private,Shaw University,Central Intercollegiate Athletic Association,https://www.shawu.edu/,https://www.shawcamps.com/,"Raleigh, North Carolina"
Public,Shepherd University,Mountain East Conference,https://www.shepherd.edu/,https://www.shepherdathleticcamps.com/,"Shepherdstown, West Virginia"
Public,Shippensburg University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.ship.edu/,https://shipraiders.com/sports/2022/3/24/fbprospect22.aspx,"Shippensburg, Pennsylvania"
Private,Shorter University,Gulf South Conference,https://www.shorter.edu/,https://goshorterhawks.com/sb_output.aspx?form=14,"Rome, Georgia"
Public,Slippery Rock University,Pennsylvania State Athletic Conference,https://www.sru.edu/,https://rockathletics.com/news/2023/2/21/football-rock-football-to-host-two-summer-prospect-camps.aspx,"Slippery Rock, Pennsylvania"
Public,South Dakota Mines,Rocky Mountain Athletic Conference,https://www.sdsmt.edu/,https://www.hardrockerfootballcamps.com/,"Rapid City, South Dakota"
Public,Southeastern Oklahoma State University,Great American Conference,https://www.se.edu/,https://www.savagestormfootballcamps.com/,"Durant, Oklahoma"
Public,Southern Arkansas University,Great American Conference,https://web.saumag.edu/,https://www.muleriderfootballcamps.com/,"Magnolia, Arkansas"
Public,Southern Connecticut State University,Northeast-10 Conference,https://www.southernct.edu/,https://camps.jumpforward.com/CCSU,"New Haven, Connecticut"
Private,Southern Nazarene University,Great American Conference,https://www.snu.edu/,https://www.snufootballcamps.com/,"Bethany, Oklahoma"
Private,Southwest Baptist University,Great Lakes Valley Conference,https://www.sbuniv.edu/,https://coachclardyfootball.totalcamps.com/About%20Us,"Bolivar, Missouri"
Public,Southwest Minnesota State University,Northern Sun Intercollegiate Conference,https://www.smsu.edu/,https://www.smsufootballcamps.com/,"Marshall, Minnesota"
Public,Southwestern Oklahoma State University,Great American Conference,https://www.swosu.edu/,https://swosuathletics.com/sports/2022/3/29/2022-summer-camps.aspx,"Weatherford, Oklahoma"
Public,Texas A&M University – Commerce,Lone Star Conference,https://www.tamuc.edu/,https://lionathletics.com/sports/2017/5/16/camps.aspx,"Commerce, Texas"
Public,Texas A&M University – Kingsville,Lone Star Conference,https://www.tamuk.edu/,https://javelinafootballcamps.totalcamps.com/About%20Us,"Kingsville, Texas"
Public,The University of Virginia's College at Wise,Mountain East Conference,https://www.uvawise.edu/,https://uvawisecavs.com/sports/football,"Wise, Virginia"
Private,Tiffin University,Great Lakes Intercollegiate Athletic Conference,https://www.tiffin.edu/,https://www.tiffin.edu/admissions/camps/,"Tiffin, Ohio"
Public,Truman State University,Great Lakes Valley Conference,https://www.truman.edu/,https://trumanbulldogs.com/news/2021/5/12/SummerCamps14.aspx,"Kirksville, Missouri"
Private,Tusculum University,South Atlantic Conference,https://site.tusculum.edu/,https://www.tusculumpioneers.com/information/camps/index_-2019_Camps-,"Greeneville, Tennessee"
Private,Tuskegee University,Southern Intercollegiate Athletic Conference,https://www.tuskegee.edu/,https://www.tuskegeesportscamps.com/,"Tuskegee, Alabama"
Public,University of Arkansas at Monticello,Great American Conference,https://www.uamont.edu/,https://www.hudjacksonfootballcamps.com/,"Monticello, Arkansas"
Public,University of Central Missouri,Mid-America Intercollegiate Athletics Association,https://www.ucmo.edu/,https://www.mulesfootballcamps.com/individual-camp.cfm,"Warrensburg, Missouri"
Public,University of Central Oklahoma,Mid-America Intercollegiate Athletics Association,https://www.uco.edu/,https://www.uco.edu/offices/events/summer-camps,"Edmond, Oklahoma"
Private,University of Charleston,Mountain East Conference,https://www.ucwv.edu/,https://ucgoldeneaglescamps.com/,"Charleston, West Virginia"
Private,University of Findlay,Great Lakes Intercollegiate Athletic Conference,https://www.findlay.edu/,https://athletics.findlay.edu/camps/camps-clinics,"Findlay, Ohio"
Private,University of Indianapolis,Great Lakes Valley Conference,https://www.uindy.edu/,https://camps.jumpforward.com/UIndyFootballCamps2022,"Indianapolis, Indiana"
Private,University of Mary,Northern Sun Intercollegiate Conference,https://www.umary.edu/,https://www.maraudersfootballcamps.com/,"Bismarck, North Dakota"
Public,University of Minnesota – Duluth,Northern Sun Intercollegiate Conference,https://www.d.umn.edu/,https://umdbulldogsportcamps.com/,"Duluth, Minnesota"
Public,University of Nebraska at Kearney,Mid-America Intercollegiate Athletics Association,https://www.unk.edu/,https://football.lopercamps.com/,"Kearney, Nebraska"
Private,University of New Haven,Northeast-10 Conference,https://www.newhaven.edu/,https://newhavenchargers.com/sports/2010/2/16/FB_Camps.aspx,"West Haven, Connecticut"
Public,University of North Carolina at Pembroke,Division II Independents,https://www.uncp.edu/,https://srfootballcamps.com/,"Pembroke, North Carolina"
Private,University of Sioux Falls,Northern Sun Intercollegiate Conference,https://www.usiouxfalls.edu/,https://usfcougars.com/sports/2011/8/15/205243143.aspx,"Sioux Falls, South Dakota"
Public,University of Texas – Permian Basin,Lone Star Conference,https://www.utpb.edu/,https://www.utpb.edu/life-at-utpb/student-life/summer-camps,"Odessa, Texas"
Public,University of West Alabama,Gulf South Conference,https://www.uwa.edu/,https://www.uwafootballcamps.com/,"Livingston, Alabama"
Public,University of West Florida,Gulf South Conference,https://uwf.edu/,https://www.goargosfootballcamps.com/,"Pensacola, Florida"
Public,University of West Georgia,Gulf South Conference,https://www.westga.edu/,https://uwgathletics.com/sports/2022/3/8/2022-summer-camps.aspx,"Carrollton, Georgia"
Private,Upper Iowa University,Northern Sun Intercollegiate Conference,https://www.westga.edu/,https://uwgathletics.com/sports/2022/3/8/2022-summer-camps.aspx,"Fayette, Iowa"
Public,Valdosta State University,Gulf South Conference,https://www.valdosta.edu/,https://www.vstatefootballcamps.com/,"Valdosta, Georgia"
Public,Virginia State University,Central Intercollegiate Athletic Association,https://www.vsu.edu/,https://govsutrojans.com/sports/summer-camps,"Petersburg, Virginia"
Private,Virginia Union University,Central Intercollegiate Athletic Association,https://www.vuu.edu/,https://vuumegacamp.com/,"Richmond, Virginia"
Private,Walsh University,Great Lakes Intercollegiate Athletic Conference,https://www.walsh.edu/,https://athletics.walsh.edu/sports/football,"North Canton, Ohio"
Public,Washburn University,Mid-America Intercollegiate Athletics Association,https://www.washburn.edu/,https://wusports.com/sports/2023/2/16/football-camps.aspx,"Topeka, Kansas"
Public,Wayne State College,Northern Sun Intercollegiate Conference,https://www.wsc.edu/,https://www.wscfootballcamps.com/,"Wayne, Nebraska"
Public,Wayne State University,Great Lakes Intercollegiate Athletic Conference,https://wayne.edu/,https://www.wscfootballcamps.com/,"Detroit, Michigan"
Public,West Chester University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.wcupa.edu/,https://www.wcupa.edu/summerCamps/,"West Chester, Pennsylvania"
Public,West Liberty University,West Virginia Intercollegiate Athletic Conference,https://westliberty.edu/,https://hilltoppersports.com/sb_output.aspx?form=34,"West Liberty, West Virginia"
Public,West Texas A&M University,Lone Star Conference,https://www.wtamu.edu/,https://gobuffsgo.com/sports/2022/2/22/2022-summer-camps.aspx,"Canyon, Texas"
Public,West Virginia State University,West Virginia Intercollegiate Athletic Conference,https://www.wvstateu.edu/,https://wvsuyellowjackets.com/sports/2020/6/23/coach-john-penningtons-football-camp.aspx,"Institute, West Virginia"
Private,West Virginia Wesleyan College,Mountain East Conference,https://www.wvwc.edu/,https://www.wvwc.edu/conferences-events-and-camps/,"Buckhannon, West Virginia"
Public,Western Colorado University,Rocky Mountain Athletic Conference,https://western.edu/,https://gomountaineers.com/sports/2016/2/11/FBCAMP_0211160954.aspx,"Gunnison, Colorado"
Public,Western New Mexico University,Lone Star Conference,https://wnmu.edu/,https://www.vigilfootballcamp.com/,"Silver City, New Mexico"
Public,Western Oregon University,Great Northwest Athletic Conference,https://wou.edu/,https://wouwolves.com/sports/2019/3/18/wou-football-camps.aspx,"Monmouth, Oregon"
Private,Wheeling University,Mountain East Conference,https://wheeling.edu/,https://wheelingcamps.com/,"Wheeling, West Virginia"
Private,William Jewell College,Great Lakes Valley Conference,https://www.jewell.edu/,https://williamjewellcamps.com/,"Liberty, Missouri"
Private,Wingate University,South Atlantic Conference,https://www.wingate.edu/,https://wingatebulldogs.com/sports/2013/3/28/FB_0328130248.aspx?id=404,"Wingate, North Carolina"
Public,Winona State University,Northern Sun Intercollegiate Conference,https://www.winona.edu/,https://www.warriorfootballcamps.com/,"Winona, Minnesota"
Public,Winston-Salem State University,Central Intercollegiate Athletic Association,https://www.wssu.edu/,https://wssurams.com/news/2022/7/6/football-announces-secomd-prospect-camp.aspx,"Winston-Salem, North Carolina"
